num	delta	http1	simple	spdy3
278	61	349	124	43
279	87	351	126	56
280	66	350	125	41
281	65	349	124	40
282	82	488	262	54
283	36	573	322	39
284	92	353	145	56
285	86	461	343	95
286	44	119	65	52
287	165	353	174	172
288	124	473	384	199
289	94	339	248	181
290	119	688	448	101
291	85	282	150	103
292	93	345	148	64
293	113	351	142	64
294	90	350	135	59
295	82	302	138	103
296	36	123	62	47
297	93	349	176	51
298	84	349	125	47
299	69	351	136	49
300	185	769	501	153
301	91	366	173	57
302	85	347	132	51
303	89	353	138	61
304	89	354	128	64
305	85	353	127	52
306	88	363	148	52
307	38	252	132	78
308	88	346	173	58
309	89	364	149	49
310	47	349	134	41
311	246	687	426	96
312	61	349	141	45
313	66	349	125	42
314	69	366	151	44
315	93	353	138	51
316	86	354	128	63
317	44	353	103	52
318	86	354	128	56
319	67	350	135	47
320	66	349	125	38
321	56	354	139	46
322	30	349	134	30
323	48	353	138	47
324	91	350	135	46
325	63	350	125	64
326	89	351	126	62
327	68	352	127	52
328	85	352	127	67
329	91	354	139	51
330	48	353	127	50
331	93	351	136	62
332	52	354	139	43
333	44	353	103	49
334	82	284	139	92
335	291	570	443	203
336	44	353	180	35
337	44	354	104	42
338	90	354	128	54
339	48	354	128	46
340	90	354	128	56
341	91	351	136	55
342	20	352	103	33
343	48	354	115	48
344	44	354	104	46
345	48	352	113	51
346	90	353	138	57
347	27	350	112	50
348	93	353	138	51
349	91	351	136	59
350	90	353	138	57
351	71	328	161	108
352	91	349	153	52
353	92	351	136	51
354	89	348	133	61
355	70	350	135	48
356	14	351	103	31
357	63	350	125	43
358	70	349	124	55
359	92	365	150	53
360	67	366	126	44
361	31	365	125	35
362	23	366	103	37
363	69	366	126	47
364	69	367	127	44
365	26	366	126	32
366	33	349	134	41
367	122	699	441	126
368	91	351	152	54
369	19	351	102	31
370	14	352	103	37
371	33	350	135	39
372	71	367	152	44
373	92	349	134	56
374	54	366	151	56
375	14	287	188	137
376	87	309	165	97
377	32	449	323	232
378	70	366	192	36
379	65	365	125	47
380	73	353	138	53
381	43	353	103	45
382	42	353	103	52
383	44	353	103	38
384	44	353	103	44
385	260	696	541	362
386	43	353	163	46
387	923	1322	1258	700
388	44	353	180	41
389	42	353	103	35
390	43	353	103	48
391	52	353	127	47
392	42	353	103	43
393	43	353	103	35
394	43	353	103	44
395	43	353	103	35
396	46	328	163	41
397	43	353	160	50
398	43	353	103	39
399	42	353	103	44
400	43	353	103	34
401	43	353	103	38
402	42	353	103	35
403	204	487	384	63
404	91	349	176	58
405	58	278	125	78
406	74	326	176	72
407	144	473	384	213
408	14	123	56	47
409	94	366	193	62
410	68	365	125	45
411	90	353	138	65
412	44	353	103	39
413	140	483	325	138
414	44	353	172	39
415	89	367	152	59
