num	delta	http1	simple	spdy3
277	210	701	528	189
278	45	466	293	160
279	297	633	433	128
280	26	459	286	49
281	65	539	373	50
282	73	552	143	54
283	70	544	135	47
284	74	552	143	52
285	397	1465	1053	297
286	270	1134	927	174
287	88	1067	893	126
288	74	619	213	70
289	52	533	94	52
290	71	570	131	61
291	93	562	157	61
292	130	1132	715	143
293	53	536	131	51
294	44	534	95	41
295	44	534	95	39
296	44	534	95	37
297	45	534	95	37
298	44	534	95	37
299	567	1773	1326	351
300	66	638	232	65
301	173	519	322	104
302	104	1157	983	42
303	64	516	349	41
304	59	454	118	55
305	50	445	109	44
306	66	469	133	54
307	65	467	131	38
308	50	433	97	53
309	232	654	481	121
310	212	701	387	103
311	307	600	434	127
312	65	648	190	52
313	103	645	187	96
314	57	604	112	56
315	275	1133	926	89
316	399	1404	1196	218
317	379	1378	1035	175
318	58	928	618	60
319	58	499	196	53
320	97	482	146	94
321	75	467	131	53
322	47	433	97	37
323	80	527	190	64
324	74	477	141	37
325	72	477	141	28
326	72	477	141	29
327	72	477	141	28
328	72	477	141	28
329	74	527	190	37
330	73	477	141	35
331	57	948	639	67
332	120	447	280	60
333	68	397	133	48
334	67	398	134	37
335	45	355	91	37
336	66	391	127	38
337	18	386	122	53
338	74	400	136	47
339	72	407	143	47
340	50	361	97	37
341	56	375	111	45
342	66	444	179	61
343	53	374	110	37
344	63	392	128	35
345	69	401	137	55
346	65	396	132	52
347	59	434	169	44
348	63	390	126	45
349	67	400	136	45
350	69	402	138	42
351	62	392	128	43
352	86	375	145	74
353	54	995	711	211
354	56	361	131	32
355	46	362	98	46
356	77	455	190	50
357	54	362	98	37
358	46	362	98	34
359	47	362	98	36
360	49	364	100	40
361	47	362	98	35
362	47	362	98	34
363	47	362	98	35
364	88	379	149	59
365	353	1417	1133	212
366	294	1181	910	149
