num	delta	http1	simple	spdy3
279	41	240	134	49
280	137	378	191	84
281	382	618	472	247
282	124	388	230	91
283	107	411	232	73
284	95	412	92	56
285	69	412	197	68
286	104	366	87	84
287	101	365	192	63
288	101	366	193	69
289	155	372	178	83
290	98	358	143	68
291	100	364	191	74
292	107	363	190	67
293	149	324	151	70
294	99	365	192	60
295	138	359	217	114
296	113	333	125	80
297	375	554	475	344
298	106	377	215	76
299	104	361	246	136
300	945	1479	1368	449
301	105	410	248	78
302	68	306	100	44
303	40	307	78	43
304	18	307	78	34
305	42	308	79	39
306	44	280	93	42
307	106	408	211	64
308	8	280	101	24
309	144	371	251	45
310	101	411	249	82
311	123	311	150	98
312	14	280	122	28
313	100	409	212	67
314	105	362	190	73
315	147	370	177	78
316	105	360	250	40
317	144	371	249	48
318	334	574	429	145
319	52	230	120	53
320	54	318	122	50
321	99	387	309	34
322	68	280	132	38
323	158	371	174	76
324	118	280	175	98
325	124	371	251	42
326	101	411	249	62
327	148	323	151	69
328	98	329	144	72
329	8	371	251	24
330	144	371	169	36
331	37	149	84	44
332	19	149	44	28
333	100	365	224	73
334	180	365	192	74
335	125	330	209	103
336	186	411	232	82
337	186	413	198	74
338	103	366	193	69
339	113	324	162	63
340	107	364	202	62
341	95	364	87	66
342	108	367	194	70
343	145	359	165	75
344	100	413	198	89
345	153	326	153	77
346	148	324	151	75
347	145	325	152	68
348	148	326	153	80
349	102	360	166	77
350	216	379	300	151
351	26	196	78	35
352	68	308	112	38
353	40	307	78	43
354	18	264	68	32
355	156	371	174	87
356	102	309	137	72
357	104	361	199	66
358	124	371	249	44
359	121	387	299	34
360	95	360	241	43
361	98	291	203	71
362	156	323	182	77
363	99	409	226	70
364	154	324	162	81
365	99	311	138	71
366	74	329	144	36
367	107	411	214	81
368	109	366	193	66
369	101	366	193	63
370	100	325	152	76
371	181	365	192	69
372	181	412	218	70
373	124	371	255	40
374	8	371	60	24
375	101	412	250	73
376	104	413	198	69
377	98	366	87	65
378	25	149	88	36
379	19	149	44	28
380	146	373	211	68
381	72	330	192	38
382	176	412	233	72
383	95	367	194	74
384	95	367	88	69
385	177	364	191	68
